CPINGsample#,Species,Collector ,Locallity,Country,County,State,Date_Collection,Date_Extracted,Initials,LAT,LONG,Extracted,DNA_Con_ng/ul,
1,T. repens,65887,Vacant area along railroad close to I10 downtown Franklinton near feed mills,USA,NTF,Louisiana,5/13/1972,12/20/2020,NK,,,Y,20,
2,T. repens,313754,Woods along vermilion river at LA 690 east of LA 82,USA,NTF,Louisiana,7/17/1989,12/20/2020,NK,,,Y,19.2,
3,T. repens,254749,"Sec.26, T19N, R2E. D'Arbourne National Wildlife refuge",USA,NTF,Louisiana,3/24/1983,12/20/2020,NK,,,Y,17.9,
4,T. repens,329937,"Universites Marine Consortium in Coodrie at the end of La. 56 south of Houma; T21S, R18E",USA,NTF,Louisiana,3/14/1991,12/20/2020,NK,,,Y,14.2,
5,T. repens,156560,"La. 22 4 miles east of Ponchatoula Sec 14, T7S, R8E.",USA,NTF,Louisiana,3/25/1979,12/20/2020,NK,,,Y,33.3,
6,T. repens,57370,8 miles W. of Centerville Highway. 60.,USA,NTF,Louisiana,6/23/1971,12/20/2020,NK,,,Y,39.2,
7,T. repens,162769,"1.5 Mi south of Henderson, Sec. 37, T8S R7E",USA,NTF,Louisiana,7/16/1977,12/20/2020,NK,,,Y,10.8,
8,T. repens,217366,"Beside US 167, Sec. 53, 53, T8S, R4E",USA,NTF,Louisiana,4/15/1983,12/20/2020,NK,,,Y,11.7,
9,T. repens,363693,"La 47, Sec, 46, T12S, R12E",USA,NTF,Louisiana,3/11/1994,12/20/2020,NK,,,Y,2.63,
10,T. repens,129353,"US 80, Sec. 11 T17N R6E",USA,NTF,Louisiana,3/2/1977,12/20/2020,NK,,,,19.4,
11,T. repens,154925,"HWY 115, Sec 3, R3E, T4N",USA,NTF,Louisiana,6/12/1978,12/20/2020,NK,,,Y,16.5,
12,T. repens,6320,"Highway 190, Buckhorn Café",USA,NTF,Louisiana,4/6/1969,12/20/2020,NK,,,Y,0.571,
13,T. repens,6352,"Garret Hall, NLSC campus, Monroe",USA,NTF,Louisiana,12/9/1967,12/20/2020,NK,,,,18.4,
14,T. repens,6316,"US 80, 2 Miles W. of Thomastown",USA,NTF,Louisiana,7/5/1971,12/20/2020,NK,,,Y,22.3,
15,T. repens,318913,"La. 22, Sec. 23, T9S, R4E",USA,NTF,Louisiana,5/22/1990,12/20/2020,NK,,,Y,17,
16,T. repens,319594,"La 648, T15S, R16E",USA,NTF,Louisiana,5/22/1990,12/20/2020,NK,,,Y,9.44,
17,T. repens,6350,"La. 34, South of Eros at Bullard Creek",USA,NTF,Louisiana,3/30/1968,12/20/2020,NK,,,Y,3.9,
18,T. repens,228616,"La. 574-9 T22S, R24W.",USA,NTF,Louisiana,3/10/1984,12/20/2020,NK,,,Y,26.2,
19,T. repens,355944,"La. 182 at St. Landry St in New Iberia, LA",USA,NTF,Louisiana,6/11/1993,12/20/2020,NK,,,,3.13,
20,T. repens,69440,New orleans LA,USA,NTF,Louisiana,3/11/1931,12/20/2020,NK,,,,25.4,
21,T. repens,69439,Chalmette Park- St. Bernard Parish,USA,NTF,Louisiana,2/1/1974,12/20/2020,NK,,,,22.6,
22,T. repens,69438,"HWY. 61 and 51, St. John the baptist parish",USA,NTF,Louisiana,3/30/1957,12/20/2020,NK,,,,38.8,
23,T. repens,69437,New orleans Aud. Park,USA,NTF,Louisiana,3/13/1933,12/20/2020,NK,,,,12.8,
24,T. repens,69434,New orleans LA,USA,NTF,Louisiana,5/5/1933,12/20/2020,NK,,,,2.42,
25,T. repens,69433,"River road, St. Charles Parish",USA,NTF,Louisiana,9/1/1972,12/20/2020,NK,,,,34.4,
26,T. repens,69428,Tulane University Herbet Research center,USA,NTF,Louisiana,2/2/1975,12/20/2020,NK,,,,17.6,
27,T. repens,69422,Ft. Macomb at Chef Menteur. Orleans Parish,USA,NTF,Louisiana,11/21/1976,12/20/2020,NK,,,,23.5,
28,T. repens,69423,Jefferson parish: Jean Lafitte National Historical Park,USA,NTF,Louisiana,4/17/1981,12/20/2020,NK,,,,16,
29,T. repens,108947,"West Feliciana Parish, Beauvais Tract cat Island Swamp",USA,NTF,Louisiana,6/7/1982,12/20/2020,NK,,,,14.3,
30,T. repens,69424,Tulane University Herbet Research center,USA,NTF,Louisiana,4/8/1967,12/20/2020,NK,,,,5.41,
31,T. repens,69425,tulane University riverside research labortories,USA,NTF,Louisiana,3/24/1978,12/20/2020,NK,,,,4.85,
32,T. repens,69441,"Grand Isle, LA",USA,NTF,Louisiana,4/19/1931,12/20/2020,NK,,,,4.33,
33,T. repens,11425,"Sec. 30, 9S 1E Iberieville Parish",USA,NTF,Louisiana,3/1/1975,12/20/2020,NK,,,,40,
34,T. repens,11430,Perkins Road farm. Baton rouge La,USA,NTF,Louisiana,4/5/1968,12/20/2020,NK,,,,0.105,
35,T. repens,11429,"River road, Baton rouge Parish. Intersection of Ben Hur Road.",USA,NTF,Louisiana,11/13/1971,12/20/2020,NK,,,,26.3,
36,T. repens,80364,LSU department of Botany ,USA,NTF,Louisiana,8/19/1987,12/20/2020,NK,,,,16.1,
37,T. repens,69344,1350 bob petit boulevard Baton rouge,USA,NTF,Louisiana,4/30/1987,12/20/2020,NK,,,,49.2,
38,T. repens,98013,LSU Baton rouge campus field,USA,NTF,Louisiana,3/11/1986,12/20/2020,NK,,,Y,29.1,
39,T. repens,84795,Ben Hur Research Farms Baton rouge LA,USA,NTF,Louisiana,5/1/1987,12/20/2020,NK,,,,48.7,
40,T. repens,86713,,USA,NTF,Louisiana,1/19/1993,12/20/2020,NK,,,,35.8,
41,T. repens,212451,Caddo Parish,USA,NTF,Louisiana,6/27/1971,12/20/2020,NK,,,Y,29.3,
42,T. repens,11431,Bossier Parish red river bottom,USA,NTF,Louisiana,3/24/1964,12/20/2020,NK,,,,2.61,
43,T. repens,78153,LA 75 and LA 73 south of geismar,USA,NTF,Louisiana,1/8/1989,12/20/2020,NK,,,,36.5,
44,T. repens,71376,La 26 3 miles west of Oberlin,USA,NTF,Louisiana,4/13/1981,12/20/2020,NK,,,,11.4,
45,T. repens,71270,IH 10 .6 miles west of Jefferson Davis Acadia parish line,USA,NTF,Louisiana,6/19/1987,12/20/2020,NK,,,,13.6,
46,T. repens,11432,Crowley LA,USA,NTF,Louisiana,4/12/1933,12/20/2020,NK,,,,10.6,
47,T. repens,11448,Houma LA,USA,NTF,Louisiana,3/15/2013,12/20/2020,NK,,,,12.9,
48,T. repens,11446,Covinton,USA,NTF,Louisiana,3/20/2020,12/20/2020,NK,,,,9.92,
